ITA,BS,CATEGORY
manipolo di lino,"bàsa, de lì",
"maniscalco (attrezzo del), lama d'acciaio utilizzata dal maniscalco per pulire gli zoccoli del cavallo",cürasnèta,
mannaia,manèra,
mano,ma,
manopola,manegòt,
manopola della falce lunga,silù,
manopola della falce lunga,sirù,
manovella,manèta,
manovella,manoèla,
manrovescio,manroèrs,
mantella,mantèla,
mantello,fòja,gergo-volgare
mantenere animali in gruppo,rosà,
mantenuta,mantignìda,
mantide religiosa,saltabèca,insetto
mantrugiare,smansolà,arcaico
manzo,mànz,
Maraschino,Ratafià,
marchingegni,trapèi,
marciapiedi,marciapè,
marcio,tóch,
marcio evidente,mars patòch,
marcire,deentà màrs,
marcire,smarsì,
marcita,marsènt,
marcita,marsènta,
marcita,marsìda,
marciume,marserìa,
marciume,marsöm,
"marengo, antica moneta",marèng,
margine,rià del fiöm,
mariolo,falabóër,
mariolo,bùna pèl,figurativo
marmista,marmorì,
marmo,màrmor,
marmo (qualità di),scoladès,arcaico
marmorina,cìca,gioco
marmorina grossa di vetro,vérgia,
marmorina grossa di vetro,vergiòt,
marmotta,préda del scarpulì,attrezzo
marra,sàpa dei müradùr,attrezzo
marrobio,marùbio,botanica
marronaio,marunèr,arcaico
marroncino,marunsì,
marrone lessato,móndol,
marrone lessato,móndoi,plurale
marrone lessato,pelàt,
marrone lessato,pelàcc,plurale
marrone lessato,peladèl,arcaico
marrone lessato,peladèi,plurale
marroneto,marunér,
marruca,spi del Signùr,botanica
marsina,gaardìna,arcaico
marsina,velàda,arcaico
martagone,gìlio de montàgna,botanica
martagone,rès de dàma,botanica
martagone,zèi dei mónt,botanica
martagone,selvàdëche,botanica
martedì,martedé,
martello,martèl,attrezzo
martello (buxus sempervirens),martèl,botanica
martin pescatore,becapès,ornitologia
martin pescatore,pìa pès,ornitologia
martin pescatore,ciumbì,ornitologia
martin pescatore,piombì,ornitologia
martinello,bénda,
martinello,bìnda,
martora,màrtor,zoologia
marza,càlma,
marzaiola,garganèl,ornitologia
marzaiola,gré-gré,ornitologia
marzaiola,gréch,ornitologia
marzaiola,grizaröl,ornitologia
marzaiola,nidrì,ornitologia
marzaiola,rasighiì,ornitologia
marzaiolo,marsöl,
"marzamino, marzemino (vino nero piccante)",berzamì,arcaico
mascalzone,mascalsù,
mascarpone,fiorìt,
mascarpone,puìna,
maschera,mascherìna,
mascherare,mascherà,
mascherina (punta rinforzata tomaia calzature),colèt dei söpèi,
mascherone di carnevale,mascherù,
maschio,màs'cc,
massaggio,fréga,
massaggio,frisiù,
massaia,maséra,
massaio,masér,
massiccio,masés,
masso,curnù,
mastello,sói,
mastello,sojöl,
masticare,mastegà,
masticare,sgagnà,
masticare,sö,
masticare il tabacco,cicà,
mastice,pàra,
mastice,màstëch,
mastio,màscol,
mastro,màstër,
masturbare,menà,
matassa,àsa,arcaico
matassa,àspa,
matassa,mezàna,
matassina,filsöl,arcaico
matassina,mezanì,
materassaio,garzì,
materassaio,sgarzì,
materassaio,stremasì,
materasso,stremàs,
materasso a molle,elàstich,
"materia, pus",màrsa,
matita copiativa,làpis,
matricale,camaméla doméstega,botanica
matricale,créspola,botanica
matricale,daniél,botanica
matricale,èrba amàra,botanica
matricale,èrba de la màder,botanica
matricale,èrba frétola,botanica
matricale,èrba madricàl,botanica
matricale,matricàl,botanica
matrice,màdër,
matrigna,madrègna,
mattana,bacà la lüna,
mattana,stónda,arcaico
matterello,càna dei teadéi,
matterello,matarèl,
mattino,àlbor,
matto,"màt, (plurale: macc)",
mattonella,taèla,
mattonella,tìga,arcaico
"mattoni larghi, a tavola",taelù,
mattutino,maitì,
mattutino,svegliarì,
"maturare, prendere il colore",ëntirlà,
maturo,madür,
mazza d'Ercole,titìna de àca,micologia
mazza del bastone,margnöch,
mazza della lippa,canèla del ciàncol,gioco
mazzaiola,rachéta,ornitologia
"mazzapicchio, battipietra",martì,attrezzo
"mazzapicchio, battipietra",tröch,
mazzetta di matasse da tingere,sprèl,
mazzetto di fiori,bochè,francesismo
mazziere,bastunér,
"mazzo, fascio","mas, masöl",
mazzolino,masulì,
mazzuola,màsa de lègn,attrezzo
mazzuola,masèta,attrezzo
mazzuola,masöla,attrezzo
mazzuolo di lino scottolato,bàza de lì lauràt,
meccanismo frenante,mecanécia,
medaglie,medàje,
mediatore,marosér,arcaico
mediatore,mesèt,arcaico
mediatore,sensér,arcaico
mediazione,bunamà,
medico,dutùr,
medico,mèdëche,arcaico
meglio,mèi,
mela,póm,botanica
mela lazzeruola,pomèla,botanica
melampiro,èrba castegnéra,botanica
melanzana,marengiàna,
melassa,melòt,
mele o pere cotte,macàgne,bassa bresciana
meleto,pomér,
melissa,èrba limonsìna,botanica
melo,póm,botanica
melo,piànta de pòm,
melo cotogno,pòm codògn,botanica
melograno,pomgranàt,botanica
melonaia,melunéra,
meloncello,bimbinèla,botanica
meloncello,èrba pirsighìna,botanica
meloncello,melonsèl,botanica
meloncello,pimpinèla,botanica
membro virile,saürì,arcaico
memoria (a),a mènt,
menadito (a),menadìcc (a),
mendicante,poarèt,
mendicante,poarì,
"mendico, mendicante",pitòch,
meningite,mal de la nóna,malattia/male
menno,cròt,
mensola,mèzol,
mensola,gatèl,
mensola,mèzol,
mensola,mèzola,
mensola per bicchieri,bocaléra,
mensole arcuate della culla,ninaröi,arcaico
mensolina per riporre il lume,donzèla,arcaico
menta dei gatti,èrba dei gacc,botanica
menta piperita,èrba diaulùna,botanica
mento,barbós,anatomia
mento,bàza,anatomia
mento (colpo al),sbarbosàda,
meo barbuto,fenocèla,botanica
meraviglia,maraèa,
meravigliato,ciarìt,
merciaio ambulante,marsàdëch,arcaico
merciaio ambulante,mercandèl,
merciaio ambulante,pegolòt,
merciaio ambulante,scosaröl,arcaico
mercoledì,mërcoledé,
mercorella,marcorèla,botanica
mercorella perenne,mercolrèla bastàrda,botanica
mercurio,arzènt viv,
merda (pulire d.),dismerdà,
merdoso,cagù,
meretrice,slandùna,
meridionale,giargianés,
meridione d'Italia,terònia,
merletti,càpe,
merletto,pisèt,
merlo,mèrlo d. bèch zàlt,ornitologia
merlo,mèrlo de màcia,ornitologia
merlo,mèrlo de nìcla,ornitologia
merlo,mèrlo négher,ornitologia
merlo,mèrlo de sòca,ornitologia
merlo,mèrlo de spenàda,ornitologia
merlo,somezì,archittettura
merlo acquaiolo,mèrla caröla,ornitologia
merlo acquaiolo,mèrlo aquaröl,ornitologia
merlo acquaiolo,mèrlo dìàqua,ornitologia
merlo acquaiolo,mèrlo pescadùr,ornitologia
merlo dal collare,gardéna colarìna,ornitologia
merlo dal collare,mèrla montàna,ornitologia
merlo dal collare,mèrla montagnìna,ornitologia
merluzzo,bacalà,
merluzzo,mërlüs,
merluzzo sotto sale,bertagnì,pesce-pesca
mescere,ödà föra,
meschino,sbrìs,arcaico
mescolanza,mes'ciansìna,
mescolanza,mes'ciòt,
mescolare,mes'cià,
mescolare,mesedà,arcaico
mescolare,remenà,
mescolata,mes'ciàda,
mescolato,mes'ciàt sö,
messa principale,mèsa àlta,
messaggero,mesagér,
"messere, mio signore",misér,
messo,mès,
messo a forza,sfrazàt,
messo insieme male,strampalàt,
mestola,càna de la polènta,
mestola,palèta,
mestolaccia,mestolàze,botanica
mestolaccia,mèstole,botanica
mestolaccia,piantàna de fòs,botanica
mestolino,manistrì,
mestolo,càsa,
mestolo,manèstër,
mestolo,mèscol,
mestolo a fondo forato,pansöl,arcaico
mestolo a fondo forato,forì,arcaico
mestolo forato a paletta,paisöl,arcaico
mestolone,cùciarù,ornitologia
mestolone,nedrèla de la palèta,ornitologia
mestolone,palitù,ornitologia
mestruo,laùr,
mestruo,marchés,
mestruo,ròbe,
meticolosità,pìtima,arcaico
meticoloso,pignöl,
metro,métër,
metrorragia,nà zò,malattia/male
mettere forzatamente,sgnacà,
mettere grinta,ëngrintàs,
"mettere i ""boghècc"" ai bachi da seta",ëmboghetà,
mettere la pastoia,ëmbogà,arcaico
metterla,mitìla,
mettersi,mitìs,
mezereo,beladòna,botanica
mezereo,calicàntus de mònt,botanica
mezereo,fiùr de san Giósëp,botanica
mezza manica,manegòt,
mezzadro,masér,
mezzadro,mezàdër,
mezzanino,mezà,
mezzano,mezà,
"mezzina, lato interno di lardo",mezé,arcaico
mezzo,mès,
mezzo (in),tramès,
mezzo addormentato,ënsorgnét,
mezzo sordo,dür de orècia,
mezzogiorno,mësdè,
miagolare,sgnaolà,
"mica, non (avv. neg.)","mìa, mìga",
micio,minì,
midollo osseo,miòla,
miele,mél,
mietere,médër,
mietitore,medidùr,
mietitura,medànda,arcaico
migliaio,miér,
miglio,mèi,botanica
miglio sgusciato,panèsa,arcaico
migliorare,nà mèi,
migliorare,sta mèi,
mignatta,singuèta,
mignattino,fanuculìna,ornitologia
mignattino,gabianèl,ornitologia
mignattino,garbagnì,ornitologia
mignattino,róndena de mar,ornitologia
mignattino,siöla,ornitologia
mignattino,sübiutì de mar,ornitologia
mignolo,armilì,
mille lire,càrta de mìla,
millepiedi,milapè,insetto
milza,mìlsa,
milzadella,ciciabèch,botanica
milzadella,ortìga mòrta,botanica
minatore,minör,
minchionare,ciulà,
minchionare,cojonà,
minchione,belelò,
minchione,böba,
minchione,ciùla,
minchione,cojò,
minchione,màja bé a ìghën,
minchione,minciù,
minchione,pabiòch,
minchione,pìrla,
minchione,sübiòt,
minchione,turù,
minchione,tamào,
minchione,tambalér,
minestra,brodùsa,gergo-volgare
minestra campagnola,brofadèi,
minestra sporca,ris a la pitòca,cucina
minestraccia,bóba,
minestraccia,sbóba,
minestraccia,dródola,
minestraccia,sbrómba,
mini mutande,ciapacàche,
miniera,édël,arcaico
miniera,medèl,
minugia,córda del bödèl,
minuta,minüda,
minutaglia,minüsia,
minutino,minüdì,
minuto,minüt,
miope,cürt de vìsta,
mirasole,èrba mantéca,
mirtillo,bàghe,botanica
mirtillo,flezù,botanica
mirtillo,frizù,botanica
mirtillo,glazù,botanica
mirtillo,golagiù,botanica
mirtillo,orgiöi,botanica
mirtillo,siziöi,botanica
mirtillo,vinazöi,botanica
mirtillo rosso,farinèla,botanica
mirtillo rosso,premònta,botanica
mirtillo rosso,glizù,botanica
mirtillo rosso,rós,botanica
mirtillo rosso,grizù,botanica
mirtillo rosso,martilì,botanica
mirtillo rosso,sìzër de ca,botanica
miscela per uccelli,panèl,
miscuglio,menös,
miserabile,mazachér,arcaico
miseria,misérgia,arcaico
misura da 1/2 litro,bosöla,
misura dei carbonai,més,arcaico
misura di capacità bresciana,quàrta,
misura di ferro,cóp,arcaico
misura lineare antica,brasèt,
misura lineare di 2 mt,caès,
misura per cereali,stopèl,arcaico
misura terriera,biólca,arcaico
misura terriera,piò,
misura terriera uguale al piò,pertegàt,arcaico
"mobile ""contrabofé""",panadüra,arcaico
moccicchino,macarì,
moccio,mócio,
moccioso,cìcia moségn,
moccioso,macagnù,
moccioso,mosignù,
"modano, legno per le maglie",modèl de la rét,
modello,déma,
modista,scöfiéra,arcaico
modo di rovinare le scarpe,scalcagnà,
"modo, maniera",möd,
moglie,moér,
moglie del bifolco,biólca,
moglie del fattore,fatùra,
moine,mognìne,arcaico
molare,ganàsa,
molinello,giràndola,
molinello,molinèl,
molla dell'orologio,süsta,
mollare,molà,
mollare,smolà,
molle del fuoco,mòja,
molletta della biancheria,molèta,
mollica,mòl,
mollica,moòla del pa,
molliccio,moés,
molto,tant fés,
"molto magro, scheletrico",scarcòs,arcaico
molto ubriaco,straciòch,
momenti (a),omènti,
monachella,visighér,ornitologia
monachella,cûarósol,ornitologia
monachella,montà,ornitologia
monachetto,saltarèl,
moncone,moncù,
mondariso,mondìna,
monello,barabì,
monello,bardàs,arcaico
monello,bardasù,arcaico
moneta antica,bajòch,
"moneta antica, scudo d'argento",cincù,arcaico
moneta da 10 centesimi,palancù,arcaico
moneta da 50,sinquantì,
moneta piccola antica,berlingòt,arcaico
monferratese,monfrà,
moniliasi orale,amòi,arcaico
moniliasi orale,funzì,malattia/male
monocolo,lenöch,arcaico
montanaro,montagnì,
monte,mut,arcaico
monte,mónt,
montone,besòt,arcaico
montone,bós,
montone,martitrà,
montone,montù,
morbido,mulzì,
"morbiglione, morbillo",gazül,malattia/male
morbillo,morbèt,malattia/male
morbillo,rósole,malattia/male
morbo spagnolo,spagnöla,malattia/male
morcia,fónd,
morcia,mogolòt,arcaico
morcia,morcolòt,arcaico
morde,pìa,
morde,sgàgna,
mordente noce,mordènt nùs,
mordere,pîà,
mordere,sgagnà,
mordersi,pîàs,
morena,gàna,arcaico
moretta,capelòt,
moretta,muritùna,ornitologia
moretta,nedrèla del Po’,ornitologia
moretta,negrèt del camöcc,ornitologia
moretta codona,morèta cuùna,ornitologia
moretta grigia,biancòt,ornitologia
moretta grigia,nedrèla,ornitologia
moretta grigia,nigrèt,ornitologia
moretta tabaccata,maritù,ornitologia
moretta tabaccata,mascherù,ornitologia
moretta tabaccata,morèta,ornitologia
moretta tabaccata,negrèt,ornitologia
moribondo,el gà 'n pè 'n de la büza,
moriglione,còl rósol,ornitologia
moriglione,corós,ornitologia
moriglione,maritù,ornitologia
moriglione,rosòt,ornitologia
morire,sbasì,
morire,mörër,
morire,nà 'ndó j-è i piö tancc,
morire,nà a 'ngrasà i vérz,figurativo
morire,tirà 'l sgarlèt,figurativo
moro,moraciòt,
moro,moraciù,
morra,mùra,gioco
morsa,smòrsa,
morsa per il cavallo,moràja,arcaico
morsetto per falegname,strènza,
morsicati,pîacc,
morsicato,pîàt,
morso,bucunàda,
morso,pîada,
morso,pîù,
morso,sgagnù,
mortaio,mortèr,
mortaio,pìrla,arcaico
mortaio,mortài (militare),
mortaio in legno,pestaröl,
mortificatissimo,móch móch,
mortificato,móch,
mortificato,pîat,figurativo
morto,crepàt,
morto,mórt,
morto,sbasìt,gergo-volgare
morto non ancora sotterrato,suërtèra,
moscerino,misolì,arcaico
moscerino,moschì,
"moschettone, gancio a molla",moschitù,
"moscio, vizzo",més,arcaico
moscone,moscù,
mosso,mòs,
"mostarda, mosto cotto",sìgol,
mosto colante delle uve,crodèl,
mostrare,mosà,
motorino,muturì,
movimento interno,bizigamènt,
"mozzare, potare",stongià,
mozzicone,mocicù,
mozzicone,mücì,
mozzicone,suncù,
mozzicone,stungiù,
mozzicone di scopa,mus'ciù,arcaico
mozzicone di sigaro,bàgol,
mozzicone di sigaro,sigàla,
mozzo,mós,
mozzo della ruota,có de röda,
mucca,àca,
mucca che ha sgravato recente,àca frèsca,
mucca gravida,àca prónta,
mucca in calore,àca màta,
mucca migliore,pàga piö bèla,
mucca partoriente,àca a cò,
mucca senza latte,àca söta,
mucchio,möcc,
mucchio,möcia,
mucchio,möcèl,
mucchio,montù,
mucchio/quantità,borài,
mucchio/quantità,ciòp,
mucchio/quantità,montù,
mucchio/quantità,squàcc,
muco,macàgn,
muco,moségn,
"muda (cambio di piume, pelle negli animali, cambio vestiti)",müda,
muda delle penne effettuata,repulàt,
muda di penne,repolàs,
muffa,möfa,
muffa,talarìna de möfa,
muggine,séol,pesce-pesca
muggire,bledà,arcaico
muggire,mügià,
muggito,vèrs del bò,
mughetto,lélo,botanica
mughetto,lélio de mónt,botanica
mughetto,lilgì,botanica
mughetto,müghèt,botanica
mugnaio,molinér,
mugo,mögh,botanica
mugugnare,bogognà,
mugugnare,mongognà,
mugugnare,mügià,figurativo
mugugnare,tangagnà,
mugugno,mogögne,
mulo,mül,
mummia,mömia,
mungere,mónzër,
mungere,mùnzër,
mungitore,molzidùr,
munto,molzìt,
muovere,möër,
muovere gli occhi senz'ordine,sbilinà,arcaico
muraccia,moréna,
muraglia,müràs,
murare,ënmürà,
muratore,möradùr,
muratore apprendista,magüt,
murena,moréna,pesce-pesca
muretto,müradèl,
muretto,mürilì,
muretto della chiavica,steadèl,
muretto di cinta di sassi tolti dai campi,müréra,
muretto di cinta di sassi tolti dai campi,müsna,arcaico
muretto di cinta di sassi tolti dai campi,mürùa,
muretto di cinta di sassi tolti dai campi,müràca,
muro,mür,
muschio,èrba tépa,botanica
muschio,mös'cc,botanica
muschio,móscol,botanica
muschio,müs'cc,botanica
muschio,mùscio,arcaico
muschio,ranìna,botanica
muschio,tópa,botanica
muschio quercino,bàrba de làrës,botanica
museruola,müsaröla,
museruola per buoi,gabiöl,
musetto,müsilì,
muso,majù,gergo-volgare
muso,müs,
muso aguzzo,müs grömér,
musone,müsatù,
musone,müsù,
mussola,musolìna,
mussola,nisolìna,arcaico
mustacchio,mostàcc,
muta,möta,
muta (stare),móca,figurativo
muto,möt,
muto (stare),móch,figurativo
nacchera,gnàchera,
nacchera,tàca,arcaico
nanerottolo,pistizì,
nannufero,anàse,botanica
nappa,smànsa,
nappa,smàsa,
narciso,narsìs,botanica
narciso,tasìna,botanica
narciso bianco,arsés,botanica
narciso bianco,giunchìlia,botanica
narciso bianco,tasèta de mónt,botanica
narciso di mare,squìla,botanica
narice,büs del nas,
narice,nazèla,
nascere,nàsër,
nascondere,scóndër,
nascondere in un buco,ëntambüzà,arcaico
nascondere in un buco,tambüzà,
nascondersi,scundìs,
nascondiglio,stambüs,
nascondino,cip,gioco
nascondino,scondaröla,gioco
nascondino,tàne,gioco
nascostamente,de scundù,
nascostamente,scundù,
nascosto,scundìt,
nasello,nasèt,meccanica
naso camuno,nas cagnì,
naso grosso,nàpa,
nasone,napù,
nastro,bindèl,
nastro,filozèl,
"nastro, fiocco",càpol,
nasturzio,naströsia,botanica
nata,nasìda,
natica,ciàpa,
natica,cülàta,
nato,nasìt,
nato ultimo di una nidiata,schitaröl,
natrice dal collare,bis ranér,rettile
natrice dal collare,liperù,rettile
natrice dal collare,viperù,rettile
nauseare,stomegà,
"navaccia, palmento",naàsa,arcaico
navetta,naèta,
navoncello,colsàt,botanica
"navone, ravizzone",raisù,botanica
"navone, ravizzone",naù,botanica
neanche,gnàch,
nebbia,calìsna,
nebbia,bólda,
nebbia,bórda,bassa bresciana
nebbia,ghèba,
nebbia,nèbia,
nebbia folta sull'orizzonte,sezàna,
neccio,tondì,
negare,negà,
negozio,negòse,
negro,néghër,
negrone,bàghe de l'órs,botanica
negrone,glizù,botanica
negrone,grizù,botanica
negrone,siziöi,botanica
nel mezzo,ëntramès,
"neonata, bambina",pipìna,
"neonata, bambina",pütina,
"neonato, bimbo",apéna nasìit,
"neonato, bimbo",pipì,
"neonato, bimbo",pütì,
"nepetella, mentuccia",èrba dialùna,botanica
"nepetella, mentuccia",èrba mènta,botanica
"nepetella, mentuccia",mentàna,botanica
"nepetella, mentuccia",èrba piögéra,botanica
"nepetella, mentuccia",èrba pölèza,botanica
"nepetella, mentuccia",polezöl,botanica
nerbatura delle foglie,costù,
nerboruto,nerbégn,
nerboruto,nervégn,
nerissimo,corbàcc,
nerofumo,neghërföm,
nervata,nervàda,
nervosismo,mal del padrù,malattia/male
nespoli,sunài,
nespolo,nèspol,botanica
nespolo cotognastro,nispolìne,botanica
nessun luogo,nösölöch,
nessuno,nüsü,
nettare,netà,
nevaio,neàl,arcaico
nevaio,nevài,
nevica,fiòca,
nevicare,fiocà,
nibbio,agóla,ornitologia
nibbio,astór,ornitologia
nibbio,falchetù,ornitologia
nibbio,nébol,ornitologia
nibbio,pojanù,ornitologia
nicchia,néch,arcaico
nicchia,nécia,arcaico
nicchiare,nicià,
nidaceo,ozèl de nì,
nidiata,gnalàda,
nidiata,nidàda,
nido,nì,
nido (fare il),nidà,
niente,gnènt,
niente,gnîènt,
niente,niènt,
niente,nèca,gergo-volgare
niente,negót,
ninfea,àsa,botanica
ninfea,anàsa,botanica
ninfea,ninfa,botanica
ninfea,stalaàs,botanica
ninfea,stalaàsa,botanica
ninfea,stèla,botanica
ninfea candida,anàsa biànca,botanica
nipote (femminile),niùda,
nipote (maschile),nîùt,
nipplo,nìplës,meccanica
nitrato di potassa fuso,salbrunèl,
nitrito,vèrs del caàl,
nitticora,airunsì,ornitologia
nitticora,melgù,ornitologia
nitticora,smàrga,ornitologia
nitticora,uzilù de le gère,ornitologia
"no, negazione",nò,
nocca,nodèl,
nocciolaia,gàza nösölera,ornitologia
nocciolino,gandöl,ornitologia
nocciolino,nösõl / nisolì,ornitologia
nocciolino,nösaröla,ornitologia
nocciolino,moscardì,ornitologia
nocciolo,nösöla,botanica
nocciolo,colér,botanica
nocciolo (del frutto),àrma,
nocciolo (del frutto),arnèla,
nocciolo (del frutto),gandulì,
nocciolo (del frutto),giandìna,
nocciolo (del frutto),mandulì,
nocciolo (del frutto),mundì,
nocciolo (del frutto),nusulì,
noce,nùs,botanica
noce pesca,pèrsëch nùs,
nocella,nozèta,
nodo,gróp,
nodo scorsoio,càpol corènt,
noi,nótër,
noialtri,noàltër,
noleggiare,tö a n òl,
non ancora,gnamò,
"non c'è speranza, modo, verso",nò ghè rëdènsio,
non taglia,móca,
non taglia,móch,
nonna,nóna,
nonnulla,peciòt,
nonnulla,ratéra,
nonostante,nomösta,
norcino,masadùr,
norcino,porcheròt,
norcino,scânsì,
nostro,nòst,
notaio,nodér,
notes,notaröl,arcaico
notizia,nöa,
nottola,spadolèta,
nottolino,crichèt,
nottolino,pirlì,
novembre,noèmbër,
novilunio,lüna nöa,
nubile,pöta,
nubile anziana,pöta ècia,
nuca,cópa,
nuca,cupì,
nuca,gnöca,
nuca,nöca,
nuda,nüda,
nudo,nüd,
nudo,biòt,
nudo completamente,nüd nüdent,
nulla,negót,
numero,nömër,
numero,römën,arcaico
nuocere,nözër,
nuotare,nüdà,
nuotare,ugà,
nuova,nöa,
nuovissimo,növ noènt,
nuovo,növ,
nutrito (ben),entù,arcaico
nuvola,nìgol,
nuvoloso,nìgol,
obeso,gras mìs,
oblungo,bislóngh,
oca domestica,óch,
oca piccola,ochìna,
oca selvatica,ànsër,ornitologia
occasione,borìda,
occhi che spaventano,öcc de basalèsch,
occhi chiusi,saraôcc,
occhi pieni di lacrime,öcc ras,
occhiali,öciài,
occhialuto,öcialìna,
occhiata,slöciàda,
occhiatina,öciadìna,
occhiello,büs del butù,
occhietto,ücì,
occhio,öcc,anatomia
occhione,ciarlóngh,ornitologia
occhione,ciórlëch,ornitologia
occhione,corlé,ornitologia
occhione,corlöch,ornitologia
occhione,curidùr,ornitologia
occhione,öcialù,ornitologia
occhione,pivierù,ornitologia
occhione,terlìs,ornitologia
occhione,turlì,ornitologia
occhione,üciù,ornitologia
occhioni,öcialù,
occhioni,üciù,
ochetta,uchì,
ochetta,ochèta,zoologia
oculista,dutùr dei öcc,
oculista,öcialér,arcaico
odorare,ösmà,
odorato,nàsta,arcaico
odorato,ösma,
odore di muffa,töfì,
offendersi,tösela,figurativo
offuscare,scürà,
oftalmia,mal de l'orbéra,malattia/male
oggetto inutile,barbài,
oggi,ëncö,
ogni,ògna,
ogni,ògne,
ogni tanto,sét per sét,
ognuno,ognù,
oleandro,leàndër,botanica
olecrano,mal del gombèt,malattia/male
olfatto,sèntër udùr,
oliatore,schisèt de l'òjo,
oliera,portacarafine,
olio,òjo,
olio d'oliva,òjo bù,
olio di abete,òjo d'aès,
olio di gomito (voglia di lavorare),òjo de gombèt,
olio fritto,scòt,
olivastro,olivàster,
olivo,ulìv,botanica
olla  (anfora per conservare olio),óla,
olmo,ormadèl,botanica
olmo,ormizì,botanica
olmo,ùlëm,botanica
oltrepassare,pasà föra,
omarino,pièl,arcaico
omarino spigoloso,güsmì,
ombelico,bìgol de la pànsa,
ombelico,bugì,
ombelico,luì,
ombra,ombrìa,
ombroso,ombrùs,
omento,ratèla,
ometto,omasì,
ometto,trequatrì,figurativo
omiciattolo,büzér,
omogeneo,töt löstès,
omosessuale,cülatì,gergo-volgare
omosessuale,cülatù,gergo-volgare
omosessuale,uriciù,gergo-volgare
oncia,ónsa,
"onice, varietà d'agata",ònës,
onicino,onizì,botanica
onnipresente,el ghè 'mpertöt,
ontaneto,onesàda,
ontano,maròs,botanica
ontano,ontà,botanica
ontano comune,ógna,botanica
ontano comune,onés,botanica
opera in segretezza,segretù,
opporsi,opunìs,
oppresso,cucunàt,
oppure,opör,
or ora,demösta,
or ora,dësadès,
or ora,domadès,
or ora,mò,
or ora,ùra,
orazione,orasiù,
orazione,oras'ciù,arcaico
"orbacca, bacca dell'alloro",orbàga,
"orbacca, bacca dell'alloro",röbàga,
orbettino,ànda,rettile
orbettino,bisabórgola,rettile
orbettino,bis urbì,rettile
orbettino,sebórgola,rettile
orbita,ëncàa de l'öcc,anatomia
orchetto marino,campanàt,ornitologia
orchetto marino,folegùna,ornitologia
orchetto marino,indiàna,ornitologia
orchetto marino,nedròt,ornitologia
orchetto marino,néghër,ornitologia
orchetto marino,óch mergù,ornitologia
orcio,botàs,
orcio,sentenér,
ordinario settimanale al figlio,paghéta,
orditoio (operaio addetto all'),ordidùr,
orecchia d'orso,cavér zàlt,botanica
orecchia d'orso,orècia d'órs,botanica
orecchia d'orso,prümula alpìna,botanica
orecchie larghe,orècie a svèntola,
orecchino,uricì,
orecchio a sventola,olàna,
orecchione,fóns de la nèbia,micologia
orecchione,peerùna,micologia
orefice,orés,
orfano,macù,arcaico
orfano,òrfën,
organetto,cardinalì,ornitologia
organetto,cecè fanèt,ornitologia
organetto,fanilì de la regìna,ornitologia
organetto,fanilì de la stèla,ornitologia
organetto,papacì,ornitologia
organetto,urghinì,ornitologia
organetto,prusianì,ornitologia
organetto,stilì,ornitologia
organo,órghën,
origano,basaléco,botanica
origano,baselìsco,botanica
origano,dìtimo,arcaico
origano,mazoràna de mónt,botanica
origano,mènta fàlsa,botanica
orina,pìsa,
orinale,bocàl,
orinare,spàndër àqua,
orinare,tra vià l'àiva,figurativo
oriolo,oriöl,ornitologia
oriuolo,bógol,arcaico
oriuolo,spolverì,
orlatrice,orladùr,
orliccio,serónt,
orlo,bàlsa,
orlo,oradèl,
orlo a giorno,azür,
orlo arricciato,volantì,
orma,fulàda,
orma,pèsta,
orma,fulàda,
oro purissimo,ór de copèle,
orologiaio,reloér,
orologio,relòi,arcaico
orologio,orolói,
oroscopo (foglietto della fortuna che riportava anche numeri per il lotto),pianèt,
orsacchiotto,orsatì,
ortica,ortighèla,botanica
orticaria,orteghéra,malattia/male
orticello,brölèt,
orticello,ortizì,
orto,órt,
ortolano,filafüs,ornitologia
ortolano,tirabüs,ornitologia
orzaiolo,oriöl,arcaico
orzaiolo,orzöl,malattia/male
orzata,semàda,
orzo,órz,botanica
orzo,scandèla,botanica
osare,olsà,
osare,olsà,
oscurare,scürì,
oscurarsi,scürìs,
oscuro,scür,
oscuro,scüròt,
ossicino,osizì,
ossiuri,vermatì,
ossobuco,òs bûs,
oste,ostér,
osteria d'infimo ordine,piòla,gergo-volgare
ostetrico,dutùr de le fómne,
ostinarsi,spusà n'opiniù,
ostinato,ëncagnàt,
ostinato,ëngrögnàt,
ostinato,fisàt,
ostinato,grapù,
ostinato,picàt,
ostinato,sücù,
ostinazione,fisasiù,
otarda,pì de mar,ornitologia
otarda,pulì,ornitologia
otarda,pulì selvàdëch,ornitologia
ottimo,mazènch,
ottimo,tógo,
ottobre,otùër,
ottomana,canapé,
ottomana,sofà,
ottone,utù,
ottuso,mós,
ovaia,oéra,
ovaia dei polli,loéra,
ovatta,oàta,arcaico
ovest,vèrs séra,
ovetto,ovasì,
ovile,bàrch,
ovolo buono,capèla rósa,micologia
ovolo buono,cùco,micologia
ovolo buono,cucù,micologia
ovolo buono,rós,micologia
ovolo buono,rós bu,micologia
ovolo buono (primo stadio),bùrla,micologia
ovolo malefico,rós màt,micologia
ovunque,d'ògne ògne,
oziare,bibià,arcaico
oziare,bibianà,arcaico
oziosa,poltrùna,
oziosa,pultruna,
ozioso,fanigutù,
ozioso,legós,
pabbio,pàbol,botanica
paciere,mezà,
paciere,pasentadùr,arcaico
pacioccone,pàcio,
paciugone,spaciüch,
padella,padèla,
