ITA,BS,CATEGORY
Alchechengi,Dindilìne,botanica
Alchemilla,Èrba de la memoria,botanica
Alchemilla,Èrba maulìna,botanica
Alchemilla,Èrba stèla,botanica
Alchemilla,Pè de liù,botanica
Alchemilla,Steària,botanica
Alcova,Alcùa,arcaico
Alcuna,Argöna,
Alcuno,Argü,
Alettone,Aletù,
Alfiere,Portastendàrd,
Alice,Aciùga,pesce-pesca
Alito condensato,Bóf,
All'improvviso,A la sproìsta,
All'improvviso,Demönemà,
All'improvviso,Töt de'n bòt,
All'infinito,Finafinòrum,
Allacciare,Sulà,
Allacciare,Sulà sö,
Allampanato,Müs de bacalà,figurativo
Allampanato,Òs De mòrt,figurativo
Allargare,Slargà,
Allegamento dei denti,Antizù,
Allegamento dei denti,Dentizù,
Allegamento dei denti,Sgrìzoi,
Alleggerire,Slezerì,
Allegria comune,Matoléra,
Allegro,Grìngol,
Allentato,Mòl,
Allentato,Slentàt,
Allentato,Slonsàt,
Allevare,Leà,
Allevare,Leà föra,
Allignante,Lìga,botanica
Allocco,Àguila,ornitologia
Allocco,Alóch,ornitologia
Allocco,Balandrana,ornitologia
Allocco,Bòsa,ornitologia
Allocco,Càvra bézol,ornitologia
Allocco,Lóch négher,ornitologia
Allocco,Göf,ornitologia
Allocco,lóch de bósch,ornitologia
Allocco,Decampàgna,ornitologia
Allocco,Selvàdëch,ornitologia
Allocco (uomo da poco),Frétol,figurativo
Alloccone,Lucù,
Allodola,Cìorla,ornitologia
Allodola,Cìorlàna,ornitologia
Allodola,ciorlàsa,ornitologia
Allodola,Sarlóda,ornitologia
Allodola,Sarlódola,ornitologia
Allontanare,Slontanà,
Allontanare,Dislontanà,
Allora (avv.),Alùra,
Alloro,Lübagòt,botanica
Alloro,Orènch,botanica
Alloro,Robàch,botanica
Alloro,Röbàga,botanica
Alluce,Dìt gròs,anatomia
Allume di Rocca,Alöm,
Allungare,Dislongà,
Allungare,Slongà,
Allungare il collo,Scolengàs,
Allungarsi,Sberlongàs,
Almeno,Almànch,
Alone della luna,Sezù de la lüna,
Altalena,Dindòca,
Altalena,Negóta,arcaico
Altalena con un asse in bilico,Baltéga,
Altalenare nelle decisioni,Negotà,arcaico
Altaleno (a forma di forca fissato a fianco del fuoco per il paiolo),Segàgn,attrezzo
Altana,Baltrèsca,
